combo	case	mode	success	latency_mean_s	latency_p50_s	latency_p90_s	latency_count	bundle_video	remote_video
fp16_task8_7	8:7	fp16	False	0.15643053023308123	0.16102400049567223	0.17100651562213898	991	/tmp/icra_quant_video_matrix_20260702_233443_bundle/videos/fp16_task8_7--case=8_7--success=false.mp4	/root/autodl-tmp/quantvla-reproduction-current/rollouts/2026_07_02/2026_07_02-23_35_04--episode=1--success=False--task=put_both_moka_pots_on_the_stove.mp4
fp16_task4_10	4:10	fp16	True	0.1610405745645206	0.15759523585438728	0.1782369539141655	251	/tmp/icra_quant_video_matrix_20260702_233443_bundle/videos/fp16_task4_10--case=4_10--success=true.mp4	/root/autodl-tmp/quantvla-reproduction-current/rollouts/2026_07_02/2026_07_02-23_38_51--episode=1--success=True--task=put_the_white_mug_on_the_left_plate_and_put_the_ye.mp4
fp16_task0_3	0:3	fp16	True	0.15229650805978215	0.1540591772645712	0.167490141838789	782	/tmp/icra_quant_video_matrix_20260702_233443_bundle/videos/fp16_task0_3--case=0_3--success=true.mp4	/root/autodl-tmp/quantvla-reproduction-current/rollouts/2026_07_02/2026_07_02-23_40_18--episode=1--success=True--task=put_both_the_alphabet_soup_and_the_tomato_sauce_in.mp4
fp16_task8_0	8:0	fp16	True	0.14795057759564295	0.15741657465696335	0.17005594894289972	749	/tmp/icra_quant_video_matrix_20260702_233443_bundle/videos/fp16_task8_0--case=8_0--success=true.mp4	/root/autodl-tmp/quantvla-reproduction-current/rollouts/2026_07_02/2026_07_02-23_43_27--episode=1--success=True--task=put_both_moka_pots_on_the_stove.mp4
none_task8_7	8:7	none	False	0.2781517910240096	0.2674388438463211	0.32326696440577507	991	/tmp/icra_quant_video_matrix_20260702_233443_bundle/videos/none_task8_7--case=8_7--success=false.mp4	/root/autodl-tmp/quantvla-reproduction-current/rollouts/2026_07_02/2026_07_02-23_46_23--episode=1--success=False--task=put_both_moka_pots_on_the_stove.mp4
none_task4_10	4:10	none	True	0.2802981864510765	0.2682741079479456	0.32942226231098176	248	/tmp/icra_quant_video_matrix_20260702_233443_bundle/videos/none_task4_10--case=4_10--success=true.mp4	/root/autodl-tmp/quantvla-reproduction-current/rollouts/2026_07_02/2026_07_02-23_52_09--episode=1--success=True--task=put_the_white_mug_on_the_left_plate_and_put_the_ye.mp4
none_task0_3	0:3	none	False	0.2863420943957946	0.26857740432024	0.3374396897852421	991	/tmp/icra_quant_video_matrix_20260702_233443_bundle/videos/none_task0_3--case=0_3--success=false.mp4	/root/autodl-tmp/quantvla-reproduction-current/rollouts/2026_07_02/2026_07_02-23_54_05--episode=1--success=False--task=put_both_the_alphabet_soup_and_the_tomato_sauce_in.mp4
none_task8_0	8:0	none	False	0.2828792407845573	0.269962552934885	0.33472203463315964	991	/tmp/icra_quant_video_matrix_20260702_233443_bundle/videos/none_task8_0--case=8_0--success=false.mp4	/root/autodl-tmp/quantvla-reproduction-current/rollouts/2026_07_03/2026_07_03-00_00_08--episode=1--success=False--task=put_both_moka_pots_on_the_stove.mp4
atm_ohb_task8_7	8:7	atm_ohb	True	0.3094676486972271	0.28983646258711815	0.349480165541172	382	/tmp/icra_quant_video_matrix_20260702_233443_bundle/videos/atm_ohb_task8_7--case=8_7--success=true.mp4	/root/autodl-tmp/quantvla-reproduction-current/rollouts/2026_07_03/2026_07_03-00_06_10--episode=1--success=True--task=put_both_moka_pots_on_the_stove.mp4
atm_ohb_task4_10	4:10	atm_ohb	True	0.2868861872918587	0.2846599854528904	0.29663779884576796	259	/tmp/icra_quant_video_matrix_20260702_233443_bundle/videos/atm_ohb_task4_10--case=4_10--success=true.mp4	/root/autodl-tmp/quantvla-reproduction-current/rollouts/2026_07_03/2026_07_03-00_09_05--episode=1--success=True--task=put_the_white_mug_on_the_left_plate_and_put_the_ye.mp4
atm_ohb_task0_3	0:3	atm_ohb	True	0.30862276348949846	0.31400424242019653	0.3492666073143482	349	/tmp/icra_quant_video_matrix_20260702_233443_bundle/videos/atm_ohb_task0_3--case=0_3--success=true.mp4	/root/autodl-tmp/quantvla-reproduction-current/rollouts/2026_07_03/2026_07_03-00_11_09--episode=1--success=True--task=put_both_the_alphabet_soup_and_the_tomato_sauce_in.mp4
atm_ohb_task8_0	8:0	atm_ohb	False	0.3060962301119786	0.28507595136761665	0.349615678191185	991	/tmp/icra_quant_video_matrix_20260702_233443_bundle/videos/atm_ohb_task8_0--case=8_0--success=false.mp4	/root/autodl-tmp/quantvla-reproduction-current/rollouts/2026_07_03/2026_07_03-00_13_56--episode=1--success=False--task=put_both_moka_pots_on_the_stove.mp4
