-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::pow        16.71%      63.667ms        16.86%      64.260ms     437.142us     298.528us         0.29%     298.528us       2.031us           0 B           0 B     574.85 MB     574.85 MB           147  
                                       cudaLaunchKernel        13.93%      53.069ms        14.42%      54.966ms       4.291us       0.000us         0.00%       9.920us       0.001us           0 B           0 B           0 B           0 B         12810  
                                            aten::addmm        10.92%      41.602ms        15.02%      57.230ms      17.048us      54.527ms        53.43%      54.527ms      16.243us           0 B           0 B       2.45 GB       2.45 GB          3357  
                                           aten::linear         5.58%      21.264ms        46.75%     178.150ms      32.064us       0.000us         0.00%     108.294ms      19.491us           0 B           0 B       5.97 GB      -1.34 GB          5556  
                                            aten::copy_         3.94%      15.033ms         8.51%      32.419ms       7.842us       7.700ms         7.55%       7.773ms       1.880us         128 B      -3.45 MB           0 B           0 B          4134  
                                            aten::empty         3.94%      15.001ms         3.94%      15.001ms       2.500us       0.000us         0.00%       0.000us       0.000us       3.83 MB       3.83 MB       2.16 GB       2.16 GB          6000  
                                    aten::empty_strided         3.28%      12.511ms         3.28%      12.511ms       2.791us       0.000us         0.00%       0.000us       0.000us      12.26 MB      12.26 MB       3.63 GB       3.63 GB          4482  
                                         cuLaunchKernel         3.17%      12.077ms         3.17%      12.077ms       3.683us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          3279  
                                              aten::add         3.12%      11.880ms         5.91%      22.520ms       9.851us       4.312ms         4.23%       4.312ms       1.886us       2.64 KB       2.57 KB     953.29 MB     953.29 MB          2286  
                                         aten::_to_copy         2.63%      10.021ms        13.52%      51.524ms      13.051us       0.000us         0.00%       6.574ms       1.665us      12.26 MB         -84 B       3.33 GB           0 B          3948  
