-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::addmm        10.92%      41.602ms        15.02%      57.230ms      17.048us      54.527ms        53.43%      54.527ms      16.243us           0 B           0 B       2.45 GB       2.45 GB          3357  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      23.084ms        22.62%      23.084ms      12.253us           0 B           0 B           0 B           0 B          1884  
                                               aten::mm         0.85%       3.224ms         1.19%       4.535ms      17.578us      18.237ms        17.87%      18.237ms      70.684us           0 B           0 B       1.31 GB       1.31 GB           258  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      11.289ms        11.06%      11.289ms      25.952us           0 B           0 B           0 B           0 B           435  
                                            aten::copy_         3.94%      15.033ms         8.51%      32.419ms       7.842us       7.700ms         7.55%       7.773ms       1.880us         128 B      -3.45 MB           0 B           0 B          4134  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       7.210ms         7.07%       7.210ms     100.143us           0 B           0 B           0 B           0 B            72  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us       6.604ms         6.47%       6.604ms      17.199us           0 B           0 B           0 B           0 B           384  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       5.146ms         5.04%       5.146ms       1.715ms           0 B           0 B           0 B           0 B             3  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       4.582ms         4.49%       4.582ms      41.279us           0 B           0 B           0 B           0 B           111  
