-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       cudaLaunchKernel        17.14%      50.372ms        17.14%      50.372ms       3.954us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         12738  
                                            aten::addmm        13.59%      39.919ms        18.96%      55.709ms      16.595us      54.480ms        53.59%      54.480ms      16.229us           0 B           0 B       2.45 GB       2.45 GB          3357  
                                           aten::linear         6.24%      18.327ms        56.74%     166.703ms      30.004us       0.000us         0.00%     108.230ms      19.480us           0 B           0 B       6.00 GB      -1.27 GB          5556  
                                            aten::empty         4.94%      14.501ms         4.94%      14.501ms       2.449us       0.000us         0.00%       0.000us       0.000us       3.80 MB       3.80 MB       2.16 GB       2.16 GB          5922  
                                            aten::copy_         4.82%      14.149ms        10.48%      30.778ms       7.532us       7.655ms         7.53%       7.692ms       1.883us           0 B      -1.72 MB           0 B           0 B          4086  
                                    aten::empty_strided         4.17%      12.249ms         4.17%      12.249ms       2.759us       0.000us         0.00%       0.000us       0.000us      10.54 MB      10.54 MB       3.63 GB       3.63 GB          4440  
                                         cuLaunchKernel         4.05%      11.885ms         4.19%      12.299ms       3.751us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          3279  
                                              aten::add         3.91%      11.474ms         6.83%      20.066ms       8.778us       4.310ms         4.24%       4.310ms       1.885us       2.64 KB       2.57 KB     953.29 MB     953.29 MB          2286  
                                         aten::_to_copy         3.25%       9.557ms        16.75%      49.208ms      12.598us       0.000us         0.00%       6.530ms       1.672us      10.54 MB          28 B       3.33 GB           0 B          3906  
                                        aten::transpose         2.95%       8.660ms         3.96%      11.630ms       1.546us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          7524  
