-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::addmm        13.59%      39.919ms        18.96%      55.709ms      16.595us      54.480ms        53.59%      54.480ms      16.229us           0 B           0 B       2.45 GB       2.45 GB          3357  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      23.095ms        22.72%      23.095ms      12.258us           0 B           0 B           0 B           0 B          1884  
                                               aten::mm         1.06%       3.129ms         1.51%       4.431ms      17.175us      18.239ms        17.94%      18.239ms      70.693us           0 B           0 B       1.31 GB       1.31 GB           258  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      11.295ms        11.11%      11.295ms      25.966us           0 B           0 B           0 B           0 B           435  
                                            aten::copy_         4.82%      14.149ms        10.48%      30.778ms       7.532us       7.655ms         7.53%       7.692ms       1.883us           0 B      -1.72 MB           0 B           0 B          4086  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       7.210ms         7.09%       7.210ms     100.134us           0 B           0 B           0 B           0 B            72  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us       6.572ms         6.47%       6.572ms      17.115us           0 B           0 B           0 B           0 B           384  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       5.148ms         5.06%       5.148ms       1.716ms           0 B           0 B           0 B           0 B             3  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       4.583ms         4.51%       4.583ms      41.286us           0 B           0 B           0 B           0 B           111  
